               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,             0.00703,             0.00703,             0.00703
                  62,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006931,            0.006931,            0.006931
                  64,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006832,            0.006832,            0.006832
                  66,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006733,            0.006733,            0.006733
                  68,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006634,            0.006634,            0.006634
                  70,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006535,            0.006535,            0.006535
                  72,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006436,            0.006436,            0.006436
                  74,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006337,            0.006337,            0.006337
                  76,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,                 nan,                 nan,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006238,            0.006238,            0.006238
